Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
COLFAX AV,AT,WOODBRIDGE ST,AUTO,HW,2011-09-28T00:00:00,WED,,,20293,19819,40112
COLFAX AV,AT,CHIQUITA AV,MAN,HW,2011-07-07T00:00:00,WED,,,21148,21289,42436
COLFAX AV ,AT,WOODBRIDGE ST,AUTO,WR,2011-09-28T00:00:00,WED,,,16992,19038,36030
COLFAX AV ,AT,WOODBRIDGE ST,AUTO,WR,2011-09-28T00:00:00,WED,,,21653,22323,43976
COLISEUM PL,W/O,CRENSHAW BL,AUTO,HW,2011-09-29T00:00:00,THU,,,22768,21069,43837
COLISEUM ST,AT,OLMSTED AV,AUTO,HW,2014-04-21T00:00:00,MON,2259,3092,0,0,5351
COLISEUM ST,AT,BRONSON AV / MALL DRIVEWAY,MAN,HW,2013-04-30T00:00:00,TUE,2599,2764,0,0,5363
COLISEUM ST,AT,WESTSIDE AV,AUTO,HW,2014-04-21T00:00:00,MON,3949,3108,0,0,7057
COLISEUM ST,AT,CRENSHAW BL,AUTO,HW,2011-09-30T00:00:00,FRI,,,24167,25568,49735
COLORADO BL,AT,EL RIO AV,MAN,CR,2013-04-25T00:00:00,THU,5405,8754,0,0,14159
COLORADO BL,AT,LINDA ROSA AV,AUTO,CR,2013-07-10T00:00:00,WED,6673,12977,0,0,19650
COLORADO BL,AT,LINDA ROSA AV,MAN,CR,2013-07-16T00:00:00,TUE,12307,12535,0,0,24842
COLORADO BL,AT,HIGHLAND VIEW AV,MAN,CR,2013-06-18T00:00:00,TUE,11092,14194,0,0,25286
COLORADO BL,AT,HIGHLAND VIEW AV,AUTO,CR,2013-06-12T00:00:00,WED,14785,15462,0,0,30247
COLORADO BL,AT,TOWNSEND AV  west leg,AUTO,HW,2011-10-12T00:00:00,WED,,,19510,13570,33080
COLORADO BL,AT,EAGLE ROCK BL,MAN,CR,2013-02-12T00:00:00,TUE,19204,16551,0,0,35755
COLORADO BL,AT,SIERRA VILLA DR,AUTO,HW,2011-10-12T00:00:00,WED,,,25121,16129,41250
COLORADO BL,AT,FIGUEROA ST,AUTO,HW,2011-10-03T00:00:00,MON,,,23485,19850,43335
COLORADO BL,AT,SIERRA VILLA DR,MAN,CR,2013-02-14T00:00:00,THU,23098,21430,0,0,44528
COLORADO BL,AT,EAGLE ROCK BL,AUTO,HW,2011-10-12T00:00:00,WED,,,26459,19951,46410
COLORADO BL,AT,HERMOSA AV,AUTO,HW,2011-10-06T00:00:00,THU,,,23795,24053,47848
COLORADO BL,AT,SIERRA VILLA DR,AUTO,HW,2011-10-12T00:00:00,WED,,,27952,21476,49428
COLORADO BL,AT,LA LOMA RD / MONTE BONITO DR,AUTO,HW,2011-10-06T00:00:00,THU,,,24792,25204,49996
COLORADO BL,AT,TOWNSEND AV  west jog,AUTO,HW,2011-10-11T00:00:00,TUE,,,25636,24765,50401
COLORADO BL,AT,LOLETA AV,AUTO,HW,2011-10-06T00:00:00,THU,,,29647,22687,52334
COLORADO BL,AT,EAGLE ROCK BL,AUTO,HW,2011-10-11T00:00:00,TUE,,,25834,27458,53292
COLORADO BL,AT,EAGLE VISTA DR / MT HELENA AV,AUTO,HW,2011-10-03T00:00:00,MON,,,33792,23857,57649
COLORADO BL ,AT,GLEN IRIS AV,MAN,CR,2013-05-09T00:00:00,THU,2811,5186,0,0,7997
COLUMBIA AV,AT,3 rd ST,AUTO,HW,2011-06-16T00:00:00,THU,718,683,,,1401
COLUMBIA AV,S/O,3 rd ST,AUTO,SR,2011-04-21T00:00:00,THU,,,512,976,1488
COLUMBIA AV,N/O,3 rd ST,AUTO,SR,2011-04-21T00:00:00,THU,,,1285,1802,3087
COLUMBUS AV,S/O,SAN FERNANDO MISSION BL,MAN,CR,2011-06-20T00:00:00,MON,,,,214,214
COLUMBUS AV,AT,SF MISSION BL,MAN,EV,2013-03-12T00:00:00,TUE,0,0,505,0,505
COLUMBUS AV,AT,VANOWEN ST,MAN,EV,2013-06-04T00:00:00,TUE,0,0,928,0,928
COLUMBUS AV,AT,SAN FERNANDO MISSION BL,AUTO,HW,2011-06-15T00:00:00,WED,743,342,,,1085
COLUMBUS AV,AT,VENTURA BL,MAN,EV,2013-05-22T00:00:00,WED,0,0,0,1121,1121
COLUMBUS AV,AT,VANOWEN ST,AUTO,EV,2013-05-29T00:00:00,WED,0,0,1094,2125,3219
COMMERCIAL ST / ALISO ST,AT,ALAMEDA ST,AUTO,CR,2014-03-06T00:00:00,THU,5009,4872,0,0,9881
COMPTON AV,AT,48 th ST,AUTO,EV,2011-03-30T00:00:00,WED,2962,1701,,,4663
COMPTON AV,AT,105 th ST,AUTO,SR,2013-06-11T00:00:00,TUE,0,0,6520,6665,13185
COMPTON AV,AT,105 th ST,AUTO,SR,2013-06-11T00:00:00,TUE,0,0,6520,6665,13185
COMPTON AV,AT,56 th ST,AUTO,CR,2013-06-25T00:00:00,TUE,0,0,7186,6244,13430
COMPTON AV,AT,56th ST,AUTO,CR,2013-05-22T00:00:00,WED,0,0,7720,6446,14166
COMPTON AV,AT,56 th ST,MAN,CR,2013-06-25T00:00:00,TUE,0,0,9146,7447,16593
COMPTON AV,AT,57 th ST,MAN,CR,2013-06-05T00:00:00,WED,0,0,8032,9351,17383
COMPTON AV,AT,103 rd ST,AUTO,WV,2011-07-08T00:00:00,FRI,13996,14341,,,28337
CONSTELLATION BL,AT,AVENUE OF THE STARS,MAN,EV,2011-09-15T00:00:00,THU,14159,21940,,,36098
COPA DE ORO RD,N/O,BELAIRE RD & BELLAGIO RD (N ROAD),AUTO,WR,2013-11-12T00:00:00,TUE,0,0,329,1369,1698
CORBIN AV,AT,HATTERAS ST,MAN,WV,2013-02-06T00:00:00,WED,0,0,6869,7621,14490
CORBIN AV,AT,HATTERAS ST,MAN,WV,2011-09-29T00:00:00,THU,14276,19037,,,33314
CORONADO ST,N/O,TEMPLE ST,AUTO,CR,2013-09-30T00:00:00,MON,0,0,2161,2388,4549
CORONADO ST,AT,KENT ST,AUTO,CR,2013-09-30T00:00:00,MON,0,0,2705,3139,5844
CORONADO ST,S/O,SUNSET BL,AUTO,CR,2013-09-30T00:00:00,MON,0,0,3141,3167,6308
COUER D ALENE AV,E/O,ABBOTT KINNEY BL,AUTO,WR,2013-09-04T00:00:00,WED,571,802,0,0,1373
COY DR,AT,BEVERLY GLEN BL,MAN,EV,2014-03-04T00:00:00,TUE,1112,0,0,0,1112
COY DR,N/O,BEVERLY GLEN BL,AUTO,EV,2014-02-19T00:00:00,WED,0,0,697,1029,1726
CREED AV,N/O,43 rd ST,MAN,EV,2011-10-10T00:00:00,THU,19251,22762,,,42013
CRENSHAW AV,AT ,36 th ST,AUT,HW,2013-04-07T00:00:00,SUN,0,0,19391,18126,37517
CRENSHAW AV,AT,36 th ST,AUT,HW,2013-03-05T00:00:00,TUE,0,0,24392,22912,47304
CRENSHAW BL,AT,MARTIN LUTHER KING BL,AUTO,EV,2011-05-02T00:00:00,MON,,,112,300,412
CRENSHAW BL,AT,30 th ST   ,AUTO,EV,2011-05-02T00:00:00,MON,,,246,436,682
CRENSHAW BL,AT,RODEO PL,AUTO,CR,2011-04-25T00:00:00,MON,,,460,686,1146
CRENSHAW BL,AT,23 rd ST,AUTO,WR,2011-07-26T00:00:00,TUE,,,787,538,1325
CRENSHAW BL,AT,JEFFERSON BL,AUTO,EV,2011-05-02T00:00:00,MON,,,1060,690,1750
CRENSHAW BL,AT,RODEO RD,AUTO,CR,2011-04-25T00:00:00,MON,,,836,914,1750
CRENSHAW BL,AT,WASHINGTON BL,AUTO,EV,2013-01-17T00:00:00,THU,0,0,719,1198,1917
CRENSHAW BL,AT,VENICE BL,AUTO,EV,2011-01-11T00:00:00,TUE,,,520,1424,1944
CRENSHAW BL,AT,28 th ST,AUTO,WR,2011-07-26T00:00:00,TUE,,,1918,1098,3016
CRENSHAW BL,AT,39 th ST,AUTO,EV,2011-05-02T00:00:00,MON,,,1808,1408,3216
CRENSHAW BL,AT,36 th ST,AUTO,CR,2011-04-25T00:00:00,MON,,,2258,1281,3539
CRENSHAW BL,AT,ADAMS BL,AUTO,WR,2011-07-26T00:00:00,TUE,,,2754,941,3695
CRENSHAW BL,AT,VERNON AV,AUTO,CR,2011-04-22T00:00:00,FRI,,,1798,2352,4150
CRENSHAW BL,AT,PICO BL,AUTO,WR,2011-07-26T00:00:00,TUE,,,2704,2545,5249
CRENSHAW BL,AT,43 rd ST,AUTO,CR,2011-04-22T00:00:00,FRI,,,3968,3032,7000
CRENSHAW BL,AT,STOCKER ST,AUTO,CR,2011-04-22T00:00:00,FRI,,,2430,4899,7329
CRENSHAW BL,AT,VENICE BL,AUTO,CR,2011-04-22T00:00:00,FRI,,,3843,5115,8958
CRENSHAW BL ,AT,78 th PL,AUTO,SR,2013-07-29T00:00:00,MON,0,0,12037,12497,24534
CRENSHAW BL ,AT,76 th ST,AUTO,SR,2013-07-29T00:00:00,MON,0,0,12515,12650,25165
CRENSHAW BL ,AT,78 th PL,MAN,SR,2013-07-31T00:00:00,WED,0,0,13409,12800,26209
CRENSHAW BL ,AT,FLORENCE AV,AUTO,SR,2013-07-29T00:00:00,MON,0,0,13058,16111,29169
CRESCENT AV,AT,18 th ST,MAN,EV,2011-07-26T00:00:00,TUE,1645,348,,,1993
CRESCENT AV,AT,20 th ST,MAN,EV,2011-07-27T00:00:00,WED,6397,2014,,,8411
CROWN HILL AV,AT,3 rd ST,AUTO,HW,2013-01-12T00:00:00,SAT,2641,2314,0,0,4955
CROWN HILL AV,N/O,3 rd ST,AUTO,HW,2013-01-11T00:00:00,FRI,2639,2321,0,0,4960
D ST ,AT,HAWAIIAN AV,AUTO,EV,2011-03-16T00:00:00,WED,,,1884,1678,3562
D ST ,AT ,GULF AV,AUTO,HW,2013-01-13T00:00:00,SUN,1954,1643,0,0,3597
DALLAS ST,AT,BLAKE AV,AUTO,HW,2013-10-31T00:00:00,THU,0,0,275,75,350
DE LONGPRE AV,W/O,VIRGIL AV,MAN,HW,2011-02-01T00:00:00,TUE,,,371,212,583
DE LONGPRE AV,AT,LA BREA AV,MAN,HW,2013-04-10T00:00:00,WED,1203,524,0,0,1727
DE LONGPRE AV,AT,LA BREA AV,AUT,HW,2013-04-09T00:00:00,TUE,2032,953,0,0,2985
DE LONGPRE AV,AT,LA BREA AV,AUT,HW,2013-04-11T00:00:00,THU,2044,978,0,0,3022
DE LONGPRE AV,AT,LA BREA AV,AUT,HW,2013-04-10T00:00:00,WED,2310,1172,0,0,3482
DEANE ST,AT,GLENDALE BL,MAN,HW,2013-04-16T00:00:00,TUE,0,181,0,0,181
DELANO ST,AT,VAN NUYS BL,AUTO,WR,2011-06-08T00:00:00,WED,,,65,63,128
DENKER AV,AT,78 th ST,AUTO,SR,2014-04-08T00:00:00,TUE,0,0,1650,1240,2890
DENKER AV,AT,214 th ST,AUTO,SR,2014-04-08T00:00:00,TUE,0,0,1119,2195,3314
DENKER ST,AT,218 th ST,AUT,SR,2013-04-03T00:00:00,WED,0,0,1439,1961,3400
DENNI ST,AT,HYATT AV,AUTO,SR,2014-05-14T00:00:00,WED,148,359,0,0,507
DENNI ST,W/O,MC FARLAND AV   ,MAN,SR,2013-08-08T00:00:00,THU,345,345,0,0,690
DENNI ST,AT,LAKME AV,AUTO,SR,2013-06-12T00:00:00,WED,300,513,0,0,813
DENNI ST,AT,BAY VIEW,AUTO,SR,2014-05-19T00:00:00,MON,847,854,0,0,1701
DENVER AV,AT,104 th ST,AUTO,SR,2013-10-29T00:00:00,TUE,0,0,221,228,449
DERONDA DR,N/O,LEDGEWOOD/ROGERTON,AUTO,HW,2013-09-02T00:00:00,MON,0,0,379,849,1228
DERONDA DR,N/O ,LEDGEWOOD/ROGERTON,AUTO,HW,2013-08-31T00:00:00,SAT,0,0,422,1001,1423
DERONDA DR,N/O,LEDGEWOOD/ROGERTON,AUTO,HW,2013-09-01T00:00:00,SUN,0,0,470,1095,1565
DESMOND ESTATES RD/PYRAMID PL,AT,MULHOLLAND DR,MAN,EV,2013-04-04T00:00:00,THU,0,0,505,31,536
DESMOND ESTATES RD/PYRAMID PL,AT,MULHOLLAND DR,MAN,EV,2013-04-13T00:00:00,SAT,0,0,552,52,604
DETROIT ST,AT ,9 th ST,MAN,HW,2013-06-19T00:00:00,WED,0,0,595,341,935
DETROIT ST ,AT ,8 th ST,AUTO,HW,2014-03-13T00:00:00,THU,0,0,1197,973,2170
DEVONSHIRE ST,AT,SAN DIEGO FWY  NB RAMPS,AUTO,CR,2011-03-02T00:00:00,WED,,,4886,8939,13825
DEVONSHIRE ST,E/O,TOPANGA CANYON BL,AUTO,WV,2013-07-23T00:00:00,TUE,7695,7020,0,0,14715
DEVONSHIRE ST,AT,RESEDA BL,AUTO,CR,2011-03-02T00:00:00,WED,,,7523,10441,17964
DEVONSHIRE ST,AT,TUNNEY AV,AUTO,CR,2011-03-24T00:00:00,THU,,,12075,14394,26469
DEVONSHIRE ST,AT,TUNNEY AV,MAN,WV,2013-03-06T00:00:00,WED,13266,13238,0,0,26504
DEVONSHIRE ST,AT,SEPULVEDA BL,AUTO,CR,2011-03-02T00:00:00,WED,,,12171,20357,32528
DEVONSHIRE ST,AT,SAN DIEGO FWY  SB RAMPS,AUTO,CR,2011-03-24T00:00:00,THU,,,14970,24286,39256
DIVISION ST,AT,JESSICA DR,AUTO,WR,2011-06-09T00:00:00,THU,,,259,245,504
DIVISION ST,AT,PRIMAVERA AV,AUTO,S/O,2011-06-09T00:00:00,THU,,,259,245,504
DIVISION ST,AT,DIVISION PL,AUTO,CR,2011-01-10T00:00:00,MON,,,153,1077,1230
DIVISION ST,AT,SAN FERNANDO RD,MAN,CR,2013-05-10T00:00:00,FRI,611,888,0,0,1499
DIVISION ST,AT,CYPRESS AV,AUTO,CR,2011-04-11T00:00:00,MON,,,10971,1257,12228
DIVISION ST,AT,LOMA LADA DR,MAN,CR,2011-09-20T00:00:00,TUE,,,11698,989,12688
DIVISION ST,AT,AVE 31   East I/S,AUTO,CR,2011-04-08T00:00:00,FRI,,,13330,14993,28323
DIVISION ST,AT,AVE 33,AUTO,CR,2011-04-08T00:00:00,FRI,,,14917,15208,30125
DIXIE CANYON AV,AT,DIXIE CANYON PL,AUTO,WR,2011-06-09T00:00:00,THU,,,178,80,258
DIXIE CANYON AV,AT,VALLEY VISTA BL ,AUTO,CR,2011-06-28T00:00:00,MON,5412,4565,,,9977
DIXIE CANYON AV,AT,INWOOD DR,AUTO,CR,2011-06-27T00:00:00,MON,5607,6203,,,11810
DIXIE CANYON AV,AT,MOORPARK ST,AUTO,CR,2011-06-27T00:00:00,MON,10621,6759,,,17380
DOCKWEILER ST,AT,KENISTON AV,AUTO,SR,2011-06-09T00:00:00,THU,271,863,,,1134
DOCKWEILER ST,AT,MULLEN AV,MAN,HW,2013-06-11T00:00:00,TUE,261,1006,0,0,1267
DOHENY DR,AT,FLICKER WY,AUTO,CR,2012-12-18T00:00:00,TUE,435,438,0,0,873
DOHENY DR,AT,ORIOLE DR,AUTO,WR,2011-08-19T00:00:00,FRI,,,859,590,1449
DOHENY DR,AT,ST IVES DR,AUTO,WR,2011-08-23T00:00:00,TUE,,,1523,902,2425
DOHENY DR,AT,ROBIN DR,AUTO,WR,2011-08-19T00:00:00,FRI,,,1616,1067,2683
DOMINQUEZ AV,N/O,ANAHEIM ST,AUTO,WR,2011-08-23T00:00:00,TUE,,,1397,1138,2535
DON PEGITA DR,N/O,MULHOLLAND DR,AUTO,WR,2011-08-23T00:00:00,TUE,,,1453,1294,2747
DONA PEGITA DR,N/O,MULHOLLAND DR,AUTO,WR,2011-06-08T00:00:00,WED,9243,11205,,,20448
DORAN ST,AT,SAN FERNANDO RD W,AUTO,EV,2011-03-31T00:00:00,THU,1567,1224,,,2791
DORAN ST,AT,SAN FERNANDO RD  E,MAN,CR,2011-09-07T00:00:00,WED,,,4315,3492,7807
DOVER ST,AT,REVERE AV,AUTO,HW,2011-07-27T00:00:00,WED,,,17300,12668,29968
DRIVEWAY,BETWEEN,MARTIN LUTHER KING BL & 39 th ST,AUTO,HW,2011-07-27T00:00:00,WED,,,12796,310,13106
DRIVEWAY,BETWEEN,MARTIN LUTHER KING BL & 39 th ST,AUTO,HW,2011-07-27T00:00:00,WED,,,13984,14059,28043
DRIVEWAY,BETWEEN,MARTIN LUTHER KING BL & 39 th ST,AUTO,HW,2011-07-27T00:00:00,WED,,,15799,15143,30942
DRONFIELD AV,AT,VAN NUYS BL,MAN,SR,2011-01-19T00:00:00,WED,,,,1001,1001
DUNSMUIR AV,AT,PACKARD ST,AUTO,HW,2013-09-19T00:00:00,THU,0,0,403,288,691
DUNSMUIR AV,AT,8 th ST,AUTO,HW,2014-02-18T00:00:00,TUE,0,0,572,988,1560
DUNSMUIR AV,AT,PICO BL,AUTO,SR,2012-12-12T00:00:00,WED,0,0,1506,1294,2800
E CHANNEL RD,N/O,ESPARTA WY,AUTO,HW,2011-06-15T00:00:00,WED,,,2156,2663,4819
EAGLE ROCK BL,AT,AVE 35,MAN,CR,2011-12-13T00:00:00,TUE,,,820,489,1309
EAGLE ROCK BL,AT, COLORADO BL,MAN,CR,2013-02-12T00:00:00,TUE,0,0,13285,1504,14789
EAGLE ROCK BL,AT,CORLISS ST,AUTO,CR,2011-02-17T00:00:00,THU,,,10422,10370,20792
EAGLE ROCK BL,AT,VERDUGO RD / AVE 40,AUTO,CR,2011-02-10T00:00:00,THU,,,9981,11280,21261
EAGLE ROCK BL,AT,COLORADO BL,AUTO,CR,2011-02-24T00:00:00,THU,,,10451,11100,21551
EAGLE ROCK BL,AT,MOSS AV,AUTO,CR,2011-01-10T00:00:00,MON,,,10808,11967,22775
EAGLE ROCK BL,AT,LANGDALE AV,AUTO,CR,2011-02-17T00:00:00,THU,,,12256,11266,23522
EAGLE ROCK BL,AT,YOSEMITE DR,AUTO,CR,2011-02-24T00:00:00,THU,,,9934,14496,24430
EAGLE ROCK BL,AT,AVE 42,AUTO,CR,2011-02-10T00:00:00,THU,,,13399,11291,24690
EAGLE ROCK BL,AT,COLORADO BL,AUTO,CR,2011-02-24T00:00:00,THU,,,11547,13396,24943
EAGLE ROCK BL,AT,COLORADO BL,AUTO,CR,2011-02-24T00:00:00,THU,,,12941,15079,28020
EAGLE ROCK BL,AT,AVE 36,AUTO,CR,2014-01-21T00:00:00,TUE,0,0,7034,24351,31385
EAGLE VISTA DR / MT HELENA AV,AT,COLORADO BL,AUTO,CR,2011-02-24T00:00:00,THU,,,12391,13561,25952
EAST RUSTIC RD,S/O,WEST RUSTIC RD,AUTO,CR,2011-02-24T00:00:00,THU,,,9033,10635,19668
EAST RUSTIC RD ,N/O,WEST RUSTIC RD ,MAN,SR,2011-03-31T00:00:00,THU,,,12587,10723,23310
EAST RUSTIC RD ,S/O,WEST RUSTIC RD ,AUTO,CR,2011-03-01T00:00:00,TUE,,,12016,12838,24854
EASTERN AV,AT,DRUID ST,AUTO,CR,2013-06-17T00:00:00,MON,0,0,6827,7296,14123
EASTERN AV,N/O,VALLEY BL,AUTO,CR,2013-06-17T00:00:00,MON,0,0,6938,7574,14512
EASTERN AV,AT,NORELLE ST,AUTO,CR,2013-06-17T00:00:00,MON,,,7379,7388,14767
EASTERN AV,AT,KLAMATH ST,AUTO,CR,2013-06-13T00:00:00,THU,0,0,7812,7816,15628
EASTERN AV,AT,GAMBIER ST,AUTO,CR,2013-06-13T00:00:00,THU,0,0,8640,7855,16495
EASTERN AV,S/O,HUNTINGTON DR,AUTO,CR,2013-06-13T00:00:00,THU,0,0,8398,10302,18700
ECHO PARK AV,AT,LAGUNA AV,MAN,CR,2013-06-27T00:00:00,THU,0,0,4700,4498,9198
ECHO PARK AV,AT,LAGUNA AV,MAN,CR,2013-04-23T00:00:00,TUE,0,0,5377,4303,9680
ECHO PARK AV,AT,LAGUNA  AV,MIO,CR,2013-11-24T00:00:00,SUN,0,0,5365,6293,11658
ECHO PARK AV,AT,LAGUNA  AV,MIO,CR,2013-11-23T00:00:00,SAT,0,0,5367,6293,11660
ECHO PARK AV,AT,LAGUNA AV,AUTO,HW,2014-02-19T00:00:00,WED,0,0,6011,5838,11849
ECHO ST,AT,AVE 60,MAN,CR,2013-02-19T00:00:00,TUE,496,125,0,0,621
ECHO ST,AT,AVE 60,MAN,CR,2011-04-12T00:00:00,TUE,,,14725,6451,21176
ECHO ST,AT,AVENUE 60,AUTO,CR,2011-04-27T00:00:00,THU,,,14566,14218,28784
EDGEHILL DR,N/O,43 rd ST,AUTO,SR,2011-06-23T00:00:00,THU,,,8465,9080,17545
EDGEMAR AV,N/O,60 th ST,AUTO,SR,2014-01-07T00:00:00,TUE,0,0,84,99,183
EDGEWOOD PL ,AT,LONWOOD AV,AUT,HW,2013-03-20T00:00:00,WED,300,1135,0,0,1435
EDINBURGH AV,AT,BEVERLY BL,MAN,WR,2013-12-03T00:00:00,TUE,0,0,533,237,770
EDINBURGH AV,AT,BEVERLY BL,AUTO,WR,2013-12-03T00:00:00,TUE,0,0,1958,718,2676
EL CENTRO AV,AT,BARTON AV,AUTO,HW,2014-05-01T00:00:00,THU,0,0,1532,1685,3217
EL PASO DR,AT,PANAMINT ST,AUTO,SR,2011-06-23T00:00:00,THU,,,13512,11444,24956
EL PASO DR,AT,DIVISION ST,AUTO,SR,2011-06-23T00:00:00,THU,,,14398,12038,26436
EL PASO DR ,AT,AVE 50,AUTO,SR,2011-06-23T00:00:00,THU,,,11911,10624,22535
EL RIO AV,AT,COLORADO BL,MAN,CR,2013-04-25T00:00:00,THU,0,0,0,167,167
ELBERON AV,W/O,GAFFEY PL,AUTO,SR,2011-06-27T00:00:00,MON,,,6196,5500,11696
ELDER ST,AT,AVE 64,AUTO,CR,2013-08-07T00:00:00,WED,168,231,0,0,399
ELGIN ST,AT,AVE 64,AUTO,CR,2013-08-07T00:00:00,WED,186,136,0,0,322
ELLENDALE PL,AT,ADAMS BL,MAN,SR,2014-02-12T00:00:00,WED,0,0,355,421,776
ELMWOOD AV,AT,WILTON PL,MAN,HW,2013-02-27T00:00:00,THU,411,454,0,0,865
ELMWOOD AV,AT,WILTON PL,MAN,SR,2011-06-28T00:00:00,TUE,,,6883,5440,12323
ELMYRA ST,E/O,N SPRING ST,MAN,SR,2011-12-06T00:00:00,TUE,,,12218,3807,16025
EMERSON AV,AT,84 th ST,AUTO,CR,2011-06-14T00:00:00,TUE,,,,12779,12779
EMERSON AV,S/O,77 th ST,MAN,SR,2013-01-14T00:00:00,MON,0,0,17367,10857,28224
EMERSON AV,AT,80 th ST,MAN,SR,2013-02-07T00:00:00,THU,0,0,16356,12584,28940
EMERSON AV,AT,80 th PL,AUTO,SR,2013-02-11T00:00:00,MON,17984,16937,0,0,34921
EMERSON AV,AT,82 nd PL,MAN,SR,2011-09-08T00:00:00,THU,15270,22600,,,37870
ENCINO AV,AT,VANOWEN ST,MAN,WV,2014-03-12T00:00:00,WED,0,0,1034,148,1182
ENTRADA DR,AT,STASSI LN,AUTO,WR,2014-05-24T00:00:00,SAT,0,0,5621,11340,6961
ENTRADA DR,AT,OCEAN AV,AUTO,CR,2011-06-14T00:00:00,TUE,,,,8479,8479
ENTRADA DR,AT,STASSI LN,AUTO,WR,2014-05-26T00:00:00,MON,0,0,6108,9568,15636
ENTRADA DR,AT,STASSI LN,AUTO,WR,2014-05-25T00:00:00,SUN,0,0,5686,10139,15825
ENTRADA DR,AT,STASSI LN,AUTO,WR,2014-05-23T00:00:00,FRI,0,0,7015,12607,19622
ERWIN ST,AT,VAN NUYS BL,AUTO,CR,2011-08-02T00:00:00,TUE,,,,572,572
ERWIN ST,AT,LAUREL CANYON BL,MAN,EV,2013-07-23T00:00:00,TUE,1109,444,0,0,1553
ESTARA AV,AT,FLETCHER DR,AUTO,CR,2014-01-22T00:00:00,WED,2351,2858,0,0,5209
ETIWANDA AV,AT,SAN FERNANDO MISSION BL,MAN,WV,2014-02-05T00:00:00,WED,0,0,449,428,877
EVERGREEN AV,AT,BLANCHARD ST,MAN,CR,2011-08-24T00:00:00,WED,,,,14657,14657
EXPOSITION BL,AT,HALLDALE AV,AUTO,HW,2013-12-04T00:00:00,WED,8393,9984,0,0,18377
EXPOSITION BL,AT,NORMANDIE AV,AUTO,HW,2013-12-04T00:00:00,WED,8965,10170,0,0,19135
EXPOSITION BL,AT,WESTERN AV,AUTO,HW,2013-12-04T00:00:00,WED,9798,10568,0,0,20366
EXPOSITION BL,AT,WESTERN AV,MAN,EV,2011-03-08T00:00:00,TUE,12385,9184,,,21568
EXPOSITION BL,AT,VERMONT AV,AUTO,HW,2013-12-05T00:00:00,THU,12610,11291,0,0,23901
EXPOSITION BL,AT,TROUSDALE PKWY,AUTO,HW,2013-12-05T00:00:00,THU,12536,12350,0,0,24886
EXPOSITION BL,W/O,FIGUEROA ST,AUTO,HW,2013-12-05T00:00:00,THU,13185,13265,0,0,26450
EXPOSITION BL (NORTH RDWY),E/O,LA BREA AV,AUTO,HW,2013-11-19T00:00:00,TUE,648,636,0,0,1284
EXPOSITION BL (NORTH RDWY),AT,VINYARD AV,AUTO,HW,2013-11-20T00:00:00,WED,1417,1268,0,0,2685
EXPOSITION BL (NORTH RDWY),AT,WEST BL,AUTO,HW,2013-11-20T00:00:00,WED,1821,1344,0,0,3165
EXPOSITION BL (NORTH RDWY),AT,BUCKINGHAM AV,AUTO,HW,2013-11-20T00:00:00,WED,2615,1380,0,0,3995
EXPOSITION BL (NORTH RDWY),AT,CRENSHAW BL,AUTO,HW,2013-11-26T00:00:00,TUE,3274,2053,0,0,5327
EXPOSITION BL (NORTH RDWY),AT,11 th AV,AUTO,HW,2013-11-26T00:00:00,TUE,3624,2671,0,0,6295
EXPOSITION BL (NORTH RDWY),AT,ARLINGTON AV,AUTO,HW,2013-11-26T00:00:00,TUE,4318,3644,0,0,7962
EXPOSITION BL (SOUTH ROAD),AT,HILLCREST DR,AUTO,HW,2013-09-10T00:00:00,TUE,439,556,0,0,995
FAIR AV,N/O,BURBANK BL,AUTO,EV,2013-06-05T00:00:00,WED,0,0,1392,1902,3294
FAIRFAX AV,AT,FOUNTAIN AV,AUTO,EV,2011-03-16T00:00:00,WED,10802,12154,,,22956
FAIRFAX AV,AT,HOLLYWOOD BL,AUTO,EV,2011-05-13T00:00:00,FRI,10520,15372,,,25892
FAIRFAX AV,AT,SELMA AV,AUTO,EV,2011-05-13T00:00:00,FRI,14484,13528,,,28012
FAIRFAX AV,AT,SUNSET BL,AUTO,EV,2011-05-13T00:00:00,FRI,12904,15357,,,28261
FARRAGUT AV,AT,ANAHEIM ST,AUTO,EV,2011-05-16T00:00:00,MON,12328,12230,,,24558
FARRAGUT AV,AT,ANAHEIM ST,AUTO,EV,2011-05-16T00:00:00,MON,12668,12121,,,24789
FERN DELL DR,N/O,BLACK OAK DR,AUTO,EV,2011-05-16T00:00:00,MON,11913,12046,,,23959
FERWOOD AV,AT,BRONSON AV,MAN,HW,2014-03-20T00:00:00,THU,404,0,0,0,404
FICKETT ST,AT,WABASH AV,AUTO,EV,2011-05-16T00:00:00,MON,13589,15637,,,29226
FIGUERA ST,AT,AVE 55,AUT,CR,2013-04-03T00:00:00,WED,12813,11350,0,0,24163
FIGUEROA ST,AT,78 th ST,AUTO,SR,2011-06-09T00:00:00,THU,,,934,530,1464
FIGUEROA ST,AT,WOODSIDE DR,MAN,EV,2013-01-28T00:00:00,MON,2973,2193,0,0,5166
FIGUEROA ST,AT,AVE 57,AUTO,EV,2011-05-23T00:00:00,MON,3406,3243,,,6649
FIGUEROA ST,AT,AVE 51,AUTO,EV,2011-05-23T00:00:00,MON,3569,3380,,,6949
